City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
647,Bhatkal,IN,84.79,overcast clouds,13.9667,74.5667,Bhatkal
650,Alenquer,BR,77.34,overcast clouds,-1.9417,-54.7383,Alenquer
652,Upington,ZA,70.18,clear sky,-28.4478,21.2561,Upington
654,Tuy Hoa,VN,74.08,overcast clouds,13.0833,109.3,Tuy Hòa
656,La Paz Centro,NI,76.86,clear sky,12.34,-86.6753,La Paz Centro
658,Cartagena Del Chaira,CO,73.69,broken clouds,1.3349,-74.8429,Cartagena del Chairá
661,Te Anau,NZ,70.7,broken clouds,-45.4167,167.7167,Te Anau
663,Sorong,ID,85.33,overcast clouds,-0.8833,131.25,Sorong
667,Edea,CM,76.78,broken clouds,3.8,10.1333,Edea
669,Tecoanapa,MX,76.5,clear sky,16.5167,-98.75,Barra de Tecoanapa
671,Tabou,CI,78.53,clear sky,4.423,-7.3528,Tabou
672,Lazaro Cardenas,MX,76.14,clear sky,17.9583,-102.2,Lázaro Cárdenas
673,San Mateo Del Mar,MX,76.75,clear sky,16.2,-95.0,San Mateo Del Mar
680,Kulhudhuffushi,MV,81.95,broken clouds,6.6221,73.07,Kulhudhuffushi
681,Jilib,SO,81.46,overcast clouds,0.4883,42.7854,Jilib
682,Martapura,ID,86.09,scattered clouds,-3.4167,114.85,Martapura
685,Soyo,AO,76.87,overcast clouds,-6.1349,12.3689,Soyo
